forks,watchers,contributors,commits,branches,open_issues,closed_issues,open_prs,closed_prs,size,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,stargazers
10514,21,191,694,4,46,1779,7,1308,175869,HTML,True,False,True,True,True,9391
788,112,39,205,3,243,492,15,140,15389,Python,True,False,True,False,False,9391
632,155,57,1324,55,12,1135,3,440,232648,TypeScript,True,True,True,False,False,9391
1119,129,392,3796,5,26,1169,12,874,501102,HTML,True,False,True,True,False,9389
1085,207,52,1111,22,542,790,40,182,13473,Rich Text Format,True,True,True,True,False,9388
1486,212,222,33722,877,2665,20389,298,6916,378244,C,True,True,True,True,False,9387
1695,510,69,360,3,20,144,5,118,1308,HTML,True,True,True,True,True,9382
892,159,1,202,1,372,5,4,1,1061,CSS,True,True,True,True,True,9377
1318,114,343,12171,5,238,6138,24,3795,40468,PHP,True,True,True,False,False,9376
1405,330,4,37,5,27,44,13,27,48,C,True,True,True,True,False,9374
487,164,14,338,5,19,245,5,140,6462,JavaScript,True,False,True,False,True,9371
1162,235,19,180,4,63,234,17,77,450,HTML,True,True,True,True,True,9369
1370,142,2,110,1,1,240,0,2,16233,Python,True,True,True,False,False,9364
556,181,20,326,12,72,475,8,107,1188429,CSS,True,False,True,False,True,9364
1155,299,19,215,1,27,274,2,58,11631,JavaScript,True,True,True,True,False,9363
717,138,71,14280,7,1406,2750,138,992,200539,JavaScript,True,True,True,False,False,9363
2097,212,366,9462,372,629,10596,80,4764,214427,TypeScript,True,True,True,True,True,9362
591,62,12,45,29,98,73,33,36,32439,Python,True,False,True,False,False,9362
3093,332,9,405,1,3,20,3,20,69557,,False,True,True,True,False,9361
774,95,85,1115,2,16,1019,0,382,1240,JavaScript,True,True,True,True,True,9358
2325,409,361,8552,4,309,4349,9,2834,24056,C++,True,False,False,False,True,9356
2056,233,21,138,1,214,149,70,82,1145,Python,True,True,True,True,False,9349
714,83,2,46,1,244,74,7,5,1657,JavaScript,True,True,True,False,False,9347
1110,363,20,79,2,21,70,4,33,2770,Objective-C,True,True,True,False,False,9346
2768,382,103,707,2,83,265,20,200,12300,C++,True,True,True,True,True,9346
955,202,348,12487,53,412,9618,34,2367,310464,C#,True,True,True,False,False,9340
2001,360,53,605,3,176,287,19,117,2598,JavaScript,True,True,True,True,False,9340
847,245,23,1512,13,163,483,2,209,5930,Go,True,True,True,True,False,9340
1269,223,50,169,1,2,69,0,65,129,,True,True,True,True,False,9337
651,660,73,1102,5,0,644,0,644,228933,PowerShell,False,True,True,True,False,9336
3123,593,83,1973,108,229,933,88,538,9514,JavaScript,True,True,True,True,False,9332
1282,98,2,946,4,331,171,4,20,9578,TypeScript,True,False,True,False,False,9330
1254,358,93,1387,9,186,1613,9,420,1684,PHP,True,True,True,True,False,9323
2632,320,106,857,16,245,1542,69,731,170801,Ruby,True,True,True,True,True,9322
1393,268,125,2065,13,782,2109,54,593,14939,JavaScript,True,False,True,False,True,9321
1624,335,36,242,4,58,172,3,83,11867,HTML,True,True,True,True,True,9319
309,181,20,160,3,56,114,5,51,431,JavaScript,True,True,True,True,False,9317
1158,285,40,906,28,67,623,6,425,267320,Jupyter Notebook,True,True,True,True,True,9315
2030,342,1,1,15,90,94,16,32,8229,PHP,True,True,True,True,False,9314
681,91,17,433,3,49,149,21,62,30878,Python,True,True,True,True,False,9313
1023,176,27,324,2,20,369,5,83,729,CSS,True,True,True,False,True,9313
479,201,33,757,13,53,195,11,182,1457,,True,True,True,False,False,9313
4163,737,3,53,7,74,32,29,25,7007,Python,True,True,True,True,False,9313
1475,140,11,206,9,5,755,0,95,27650,JavaScript,True,True,True,True,True,9313
2963,321,398,14607,4,1056,11610,139,5343,72268,Python,True,True,True,False,False,9311
271,30,105,688,32,62,886,17,621,7929,TypeScript,True,False,True,False,False,9308
117,20,49,722,8,10,360,0,271,1290,PHP,True,True,True,False,False,9308
1234,121,278,3131,16,573,2487,15,1118,54506,Go,True,False,True,False,True,9308
1903,402,233,1617,14,211,2196,5,1402,5978,Java,True,True,True,True,False,9308
1058,278,98,4689,648,305,5998,160,4183,207878,Go,True,True,True,False,False,9304
1329,241,152,3377,19,37,1372,14,864,6127,C,True,False,True,True,True,9304
2750,251,422,9705,77,240,10336,140,8394,4416262,Java,True,True,True,False,True,9301
1986,198,309,29634,255,30,8736,23,5356,681551,Python,True,False,True,False,True,9299
2761,472,15,308,1,71,72,3,24,89758,Swift,True,True,True,True,False,9293
1331,446,275,790,1,0,617,0,568,2000,HTML,True,False,True,False,True,9292
737,138,156,13956,4,142,4060,3,1215,35653,Lua,True,True,True,True,False,9289
1142,351,2,423,1,8,50,0,3,26777,,True,True,True,True,False,9287
1831,658,2,197,1,36,56,3,8,36915,C++,True,True,True,True,False,9285
522,196,17,175,2,23,111,13,68,959,CSS,True,True,True,True,True,9284
3609,222,3,280,4,190,130,11,16,2889,Shell,True,True,True,True,True,9284
1451,281,71,232,2,39,139,26,134,569,JavaScript,True,True,True,True,True,9280
2204,327,79,1131,7,211,649,33,187,1808,Python,True,True,True,True,True,9280
501,165,27,1997,2,21,1476,2,303,3339,JavaScript,True,False,True,True,False,9279
948,212,20,142,17,44,65,13,41,1145,C,True,True,True,True,True,9278
662,62,41,6239,32,139,1117,16,695,139003,Python,True,True,True,True,False,9277
446,33,69,10972,177,516,3420,26,2755,375986,TypeScript,True,True,True,True,True,9276
1987,148,70,543,17,288,3607,28,395,119035,C++,True,False,True,False,False,9275
257,62,28,1365,3,339,1331,7,180,42274,Rust,True,True,True,True,False,9275
793,124,125,1044,6,347,1178,41,663,4423,TypeScript,True,False,True,True,True,9273
436,147,11,265,1,386,204,3,23,23196,Objective-C,True,True,True,True,False,9273
796,234,28,2559,6,724,160,12,160,39301,C++,False,True,True,True,False,9272
1031,75,296,1041,6,430,1755,78,840,1975,Rust,True,False,True,False,False,9267
1011,349,67,321,4,138,327,0,153,2977,PHP,True,False,False,False,False,9266
252,61,35,250,6,51,230,12,150,4429,Go,True,True,True,True,True,9263
1412,341,193,1357,5,71,663,12,464,112069,JavaScript,True,True,True,True,True,9261
660,271,2,2,1,0,452,0,415,57,Go,True,True,True,False,False,9257
4206,545,1,100,1,1,127,0,18,67974,Jupyter Notebook,True,False,True,False,False,9256
2373,285,249,1751,53,75,3227,2,1951,112059,Python,True,False,True,False,False,9254
2882,355,159,2552,89,316,2148,45,856,18103,TypeScript,True,True,True,False,True,9251
319,99,58,958,1,14,82,5,63,2066,,True,True,True,True,False,9248
690,68,33,1012,5,15,280,1,173,8033,Python,True,True,True,False,False,9247
341,210,32,271,6,67,219,7,156,13039,C++,True,True,True,True,False,9245
233,34,68,613,1,30,915,2,466,2829,Rust,True,True,True,True,False,9244
2506,178,79,230,5,530,827,30,264,6842,Python,True,True,True,False,False,9244
2382,606,5,83,1,58,50,5,12,14981,VimL,True,True,True,True,False,9244
522,204,13,784,3,66,171,7,59,3258,JavaScript,True,True,True,True,True,9243
671,136,100,3983,17,197,3094,26,1736,63170,C#,True,True,True,True,True,9234
607,98,76,398,1,81,626,20,299,669,Go,True,True,True,True,False,9233
566,59,17,673,15,218,627,2,130,71704,C++,True,True,True,True,False,9232
1871,435,2,34,2,9,14,5,6,75552,PHP,True,True,True,True,True,9227
734,130,126,1701,16,18,1858,5,1080,45018,Go,True,True,True,False,True,9225
2839,591,4,153,4,0,49,0,49,68445,JavaScript,False,True,True,True,False,9224
1529,285,1,75,1,22,24,1,1,4104,,True,True,True,True,False,9223
2238,197,104,2933,6,228,914,7,439,83172,Jupyter Notebook,True,True,True,True,False,9223
1317,314,123,11403,63,573,5784,19,4227,326676,JavaScript,True,True,True,False,False,9223
303,27,25,288,2,133,185,25,61,1904,TypeScript,True,False,True,False,False,9220
886,148,68,586,3,26,611,4,272,818,Go,True,False,True,False,False,9219
934,306,222,4434,30,56,5379,32,4119,31922,Shell,True,False,True,False,False,9215
2262,480,177,14553,19,326,4802,44,679,151981,Python,True,True,True,False,True,9212
1529,521,19,137,2,16,57,2,28,502,C++,True,True,True,True,False,9208
1270,125,408,5078,30,360,6381,6,4204,1080717,Go,True,True,True,True,False,9207
3652,213,9,149,5,11,457,0,78,2924,Shell,True,True,True,True,False,9207
710,104,170,571,3,226,873,55,397,904,Rust,True,False,True,False,False,9206
1205,343,113,2090,29,138,6800,0,1525,5347,Shell,True,True,True,False,False,9205
683,99,91,766,5,134,657,12,354,1346,TypeScript,True,False,True,False,False,9204
654,272,36,1144,3,107,344,13,171,29507,JavaScript,True,True,True,False,False,9202
316,75,6,76,5,18,39,0,13,15504,,True,True,True,True,False,9201
2854,268,265,5339,91,47,8793,15,4704,11002,PowerShell,True,True,True,True,False,9200
1007,165,28,873,9,35,539,2,131,34995,Go,True,True,True,True,True,9199
1410,502,39,2690,23,130,801,18,462,25902,Python,True,True,True,True,False,9198
3982,430,271,3277,15,0,5469,0,931,21101,C#,True,False,True,False,False,9197
1191,433,52,570,10,87,207,9,139,27723,Go,True,True,True,True,False,9196
892,123,4,32,1,13,5,0,2,55,,True,True,True,True,False,9195
1016,61,215,12146,558,585,3177,90,1353,241982,Python,True,True,True,True,True,9195
337,56,118,3620,59,99,3268,27,2677,273592,Rust,True,False,True,False,True,9193
780,367,183,6165,14,3,186,2,186,18812,Clojure,False,True,True,True,False,9190
1881,297,4,38,6,63,63,5,20,40701,Python,True,True,True,True,False,9185
764,103,42,3432,13,272,1506,11,780,59772,JavaScript,True,True,True,True,False,9184
22445,159,37,519,1,0,529,0,211,26890,Shell,True,True,True,True,False,9183
1576,285,22,796,3,196,349,17,85,2329,Python,True,True,True,False,True,9182
1338,149,159,3033,3,46,2747,2,563,9405,Python,True,False,True,True,True,9181
645,137,97,8517,120,64,3066,6,858,100625,C,True,True,True,True,True,9178
630,234,38,404,3,47,281,9,159,617,JavaScript,True,True,True,True,True,9171
2682,347,361,5994,147,9,2773,4,2525,463349,C,True,False,True,True,False,9171
780,74,16,282,3,210,456,1,31,4595,Kotlin,True,True,True,False,False,9171
2014,414,36,852,2,22,615,3,168,3087,Python,True,True,True,True,False,9170
3519,547,154,1843,11,59,2455,8,736,12124,PHP,True,True,True,True,True,9168
1913,411,451,5318,27,17,3868,9,3183,284895,,True,True,True,False,False,9166
5973,715,233,42637,4,1521,28109,63,7157,1208216,C++,True,False,True,True,False,9165
2444,449,162,6302,6,90,4234,6,1425,121321,C#,True,False,True,True,True,9161
2262,59,98,1326,16,401,1749,61,1052,118525,CSS,True,True,True,True,True,9156
2438,517,56,950,2,253,888,7,173,25513,C,True,True,True,True,True,9153
1748,95,18,482,9,20,46,11,13,3382,Java,True,True,True,True,False,9151
3149,276,14,185,1,144,129,21,28,90527,Python,True,True,True,True,False,9150
801,334,75,1667,3,449,566,11,218,6664,JavaScript,True,True,True,True,False,9148
768,161,292,7535,2,333,4682,23,1327,14475,C,True,False,True,False,False,9148
1623,170,7,1037,3,73,983,0,19,29032,Java,True,True,True,True,False,9147
2829,406,7,351,9,40,89,5,34,32180,Java,True,True,True,True,False,9145
10722,576,335,63923,1211,3415,43444,328,18908,727498,PHP,True,True,True,True,False,9144
350,69,16,212,1,77,72,7,27,93899,Swift,True,True,True,True,True,9144
2278,91,10,49,1,72,56,36,29,29,Python,True,True,True,True,False,9143
3380,193,98,3678,1,0,2388,0,1052,107723,PHP,True,True,True,False,False,9140
385,81,29,1083,5,13,642,3,603,10714,Rust,True,False,True,False,True,9139
877,85,40,353,23,231,635,18,453,12407,Vue,True,True,True,False,False,9139
382,77,143,768,3,78,1302,2,651,3812,Python,True,False,True,False,True,9138
878,259,60,384,2,107,228,24,124,336,Python,True,True,True,True,False,9138
375,54,149,1392,4,91,1268,7,391,15969,Shell,True,True,True,True,True,9136
1905,380,75,916,2,48,891,2,191,3327,C,True,True,True,False,True,9135
754,97,5,89,4,253,97,16,16,61507,Python,True,True,True,False,False,9132
1414,316,146,3464,4,320,2329,18,1345,12434,C,True,False,True,True,False,9128
703,138,13,138,1,21,64,3,25,38097,Python,True,True,True,True,False,9128
406,46,3,108,3,35,107,12,29,1369,Python,True,True,True,True,False,9127
441,123,55,661,11,248,775,1,299,18812,C#,True,True,True,True,False,9125
3605,506,42,493,73,114,380,37,231,12011,Java,True,True,True,True,False,9121
1151,152,20,367,3,24,474,3,223,887,Go,True,True,True,True,False,9121
1490,116,385,5963,10,220,2544,3,1542,34573,TypeScript,True,True,True,True,False,9121
5727,385,366,4438,5,581,3146,74,2164,152829,C++,True,False,True,False,False,9119
721,101,88,2734,12,129,941,24,446,49775,Swift,True,True,True,True,False,9119
925,78,212,869,14,239,1343,52,794,81545,Rust,True,False,True,False,False,9116
1472,214,29,2529,18,63,768,15,205,27355,JavaScript,True,True,True,True,True,9115
49,13,41,447,6,7,203,1,153,792,PHP,True,True,True,True,False,9115
1696,330,29,615,2,172,477,10,70,13035,Cython,True,True,True,True,True,9112
2279,644,88,4732,156,48,4656,5,1040,44635,C#,True,True,True,True,True,9112
1666,314,148,4190,5,874,1533,47,448,37922,C#,True,False,True,False,False,9110
1211,87,114,3777,308,55,4366,9,3405,24936,Vue,True,False,True,False,False,9110
1031,218,101,1077,9,66,1080,12,325,1332,Swift,True,True,True,True,True,9110
338,86,80,1377,16,55,606,19,349,1600,Ruby,True,False,True,True,False,9105
1266,129,2,293,1,1,8,1,8,157,,False,False,True,False,False,9103
1647,173,202,2876,43,434,2878,134,2064,25776,Go,True,True,True,True,False,9099
312,61,123,2390,13,63,1346,3,566,6560,TypeScript,True,True,True,False,False,9098
880,315,107,1218,8,9,1115,3,555,3149,Ruby,True,False,True,False,False,9097
2129,401,4,1375,2,52,66,3,14,7036,Java,True,True,True,True,False,9097
4680,377,1,73,1,800,305,79,61,42427,C++,True,True,True,False,False,9095
801,276,50,464,6,46,259,6,161,3545,Python,True,True,True,True,False,9088
1399,302,130,1391,4,138,1652,1,893,45554,Python,True,True,True,True,True,9085
1667,130,85,3522,12,323,1956,14,768,56314,Python,True,True,True,True,True,9084
790,86,336,2717,28,247,1518,32,836,10733,Rust,True,True,True,True,False,9083
517,766,8,270,1,0,16,0,13,5679,,True,True,True,True,False,9080
1239,457,173,5927,14,343,3193,27,1747,41005,Scala,True,False,True,True,False,9074
340,71,31,538,6,65,188,3,92,2216,Swift,True,True,True,True,False,9072
585,123,139,3786,375,427,6396,76,4078,254854,TypeScript,True,True,True,True,False,9067
1102,130,24,82,1,3,67,0,45,144,TypeScript,True,False,True,True,True,9066
2134,76,68,199,1,723,1018,36,236,7708,Python,True,True,True,True,False,9065
533,82,88,5913,1297,188,2662,5,2029,274755,Go,True,True,True,False,False,9054
707,365,31,169,1,50,95,48,67,27569,,True,True,True,True,False,9054
259,37,125,2444,6,32,1296,13,1018,27385,Rust,True,False,True,True,False,9052
382,28,140,1686,25,189,1904,69,1422,12350,JavaScript,True,False,True,True,False,9051
5496,201,343,15995,7,236,6239,4,4329,276379,Java,True,True,True,True,False,9051
215,38,57,2048,12,95,1341,7,1036,69738,Rust,True,True,True,False,True,9046
673,64,9,138,2,25,98,2,56,336,Go,True,True,True,False,False,9046
1315,246,210,1603,5,72,1297,4,474,9864,JavaScript,True,True,True,True,True,9046
1186,431,147,13064,22,605,6342,32,4714,183938,JavaScript,True,True,True,True,False,9043
5264,798,349,3737,6,49,1392,42,1392,14911,Wikitext,False,False,True,True,False,9041
1302,66,30,1125,90,66,227,25,156,43082,Python,True,True,True,True,False,9042
527,105,18,102,2,56,81,7,50,38493,Python,True,True,True,True,False,9040
228,69,25,296,11,54,357,8,92,7349,Go,True,False,True,True,False,9034
303,166,23,162,4,39,100,3,44,1038,Go,True,True,True,True,True,9034
633,74,23,438,11,75,72,4,49,124242,Python,True,True,True,False,False,9031
1042,158,166,3012,18,320,1525,18,761,26949,JavaScript,True,False,True,True,False,9030
461,96,108,487,3,137,448,8,245,1546,JavaScript,True,True,True,True,False,9029
2435,178,363,1973,10,54,2648,15,840,3579,Ruby,True,False,True,True,False,9025
1513,137,280,6721,628,524,9183,71,4493,45902,Python,True,False,True,True,False,9024
842,186,28,4683,27,521,3361,24,106,57089,Objective-C,True,True,True,True,False,9023
692,234,6,1121,181,275,381,125,101,132324,JavaScript,True,True,True,True,True,9020
511,111,49,380,9,162,583,15,255,358,JavaScript,True,True,True,False,False,9019
3484,150,89,1156,197,2,724,0,724,347389,CSS,False,False,True,False,False,9013
463,71,30,143,9,0,455,0,168,46621,TypeScript,True,False,True,False,False,9013
1456,241,378,18432,28,1313,4884,162,2432,73689,Python,True,False,True,True,False,9012
704,149,208,2749,49,614,1249,72,688,9544,Python,True,True,True,True,False,9011
5132,624,170,14759,16,85,7107,20,962,1308071,C#,True,True,True,False,False,9009
19,7,12,172,3,2,75,2,69,155,PHP,True,True,True,True,False,9008
571,52,26,1498,7,87,875,1,712,40620,Python,True,True,True,True,False,9008
2232,503,6,74,4,254,173,45,48,8930,Java,True,True,True,True,True,9006
1765,146,8,302,7,449,391,8,17,126397,Java,True,True,True,True,False,9005
672,159,86,1892,63,229,1557,69,1138,19037,Rust,True,False,True,False,True,9002
637,99,76,2591,131,581,1643,56,415,6448,Python,True,False,True,True,False,9001
1020,47,170,1714,5,12,1729,0,525,15821,JavaScript,True,True,True,True,False,9001
805,90,100,143,1,2,155,0,134,436,,True,False,True,False,True,9001
807,101,141,8656,38,179,3359,14,1587,816757,Go,True,True,True,False,False,9000
468,127,13,624,170,12,284,8,276,1266,Dockerfile,True,True,True,True,False,8997
2236,519,6,813,3,114,676,16,60,487954,C,True,True,True,True,False,8997
423,157,23,323,15,21,179,12,101,4707,JavaScript,True,True,True,True,True,8997
1350,225,10,136,18,185,297,29,28,3398,JavaScript,True,True,True,True,False,8997
1017,122,17,143,18,83,93,11,68,194,Python,True,True,True,True,False,8994
401,64,23,337,32,126,290,3,120,11069,TypeScript,True,True,True,True,False,8992
3242,501,273,1599,1,30,973,8,716,1815,CSS,True,True,True,True,True,8990
2110,195,237,1431,67,338,3506,57,680,5682,JavaScript,True,True,True,True,True,8989
2964,191,409,3265,11,50,3742,5,1527,13546,Python,True,True,True,False,False,8987
1189,223,26,298,3,434,234,34,40,491,Go,True,True,True,True,False,8984
1123,262,29,583,7,101,339,5,169,7968,Python,True,True,True,True,False,8984
1058,64,175,2442,18,104,2723,6,1481,33237,Go,True,True,True,True,False,8983
766,141,145,3666,134,191,3120,21,1342,40835,Python,True,True,True,False,False,8979
1202,318,5,77,6,13,42,9,26,131,JavaScript,True,True,True,False,False,8978
700,111,6,498,2,163,94,5,65,12064,Python,True,True,True,False,False,8977
714,268,19,1600,35,514,272,50,86,37330,JavaScript,True,True,True,True,False,8973
547,137,135,32871,59,1553,16701,218,10254,86538,C++,True,True,True,False,True,8970
1148,385,34,3329,5,170,215,2,92,44907,C#,True,True,True,True,False,8967
631,412,366,11666,2,59,529,1,188,609629,C,True,True,True,True,False,8967
1839,217,18,154,4,99,126,14,32,532,Python,True,True,True,True,False,8964
414,130,29,1159,4,186,229,0,44,6623,HTML,True,False,True,False,False,8963
2378,629,125,1337,25,299,946,16,496,2624,C,True,True,True,True,False,8962
1268,603,281,1060,4,14,562,14,487,1210,Python,True,True,True,True,False,8959
1330,153,110,2240,60,62,1743,0,792,50566,Go,True,True,True,True,False,8957
761,235,38,336,3,5,134,1,127,500,JavaScript,True,True,True,True,True,8956
1525,344,6,114,3,118,270,7,26,1010,Java,True,True,True,True,False,8956
478,76,38,7490,110,115,2028,20,1754,200725,TypeScript,True,True,True,True,False,8955
1747,95,5,635,57,115,543,32,52,46386,Java,True,True,True,True,False,8954
1341,99,408,16981,18,229,8324,14,778,85921,Python,True,True,True,True,False,8949
887,94,22,490,12,426,275,24,64,88039,Jupyter Notebook,True,True,True,False,True,8949
1659,292,243,2306,13,454,3171,64,1149,20208,JavaScript,True,False,True,True,False,8949
997,237,64,896,3,14,534,1,347,4552,Shell,True,True,True,False,True,8944
896,97,118,800,5,70,970,10,330,2631,Python,True,True,True,True,False,8944
1316,874,10,169,4,14,49,0,25,151,,True,True,True,True,False,8944
599,245,79,332,1,1,167,0,138,255,,True,False,True,False,False,8943
1920,192,19,352,4,614,439,23,111,3478,Python,True,True,True,True,False,8942
1608,80,47,222,7,11,799,5,191,3920,Python,True,True,True,True,False,8942
270,47,47,165,1,19,216,0,90,679,JavaScript,True,False,True,False,False,8942
2047,635,2,149,1,1,26,1,4,345,Go,True,False,True,False,False,8940
280,94,57,587,35,207,972,23,607,10453,JavaScript,True,False,True,False,False,8939
294,66,68,3585,19,297,1645,19,613,14093,TypeScript,True,True,True,True,False,8935
306,50,89,2065,7,72,942,12,420,2164,PHP,True,False,True,False,False,8934
12346,237,400,63278,25,140,27785,41,26051,132925,JavaScript,True,True,True,True,False,8932
326,30,18,652,4,22,208,1,95,327,JavaScript,True,True,True,True,True,8926
557,203,51,1375,15,148,592,4,182,50411,Go,True,False,True,True,False,8925
1606,333,39,292,1,45,341,4,70,5007,C++,True,True,True,True,False,8924
318,20,159,2095,8,19,656,1,327,11620,TypeScript,True,True,True,False,False,8923
897,146,212,6859,45,203,5247,30,3330,40515,Go,True,True,True,False,False,8916
1119,78,130,1001,7,49,1744,10,301,8927,JavaScript,True,False,True,False,True,8916
676,414,4,39,1,6,11,5,7,92,,True,True,True,True,False,8912
1125,72,248,7769,39,116,8105,39,6562,374383,TypeScript,True,True,True,False,False,8911
2260,403,31,438,1,342,207,13,120,1368,Java,True,False,True,False,False,8905
886,139,44,1435,4,21,769,5,467,93620,JavaScript,True,True,True,False,True,8905
1209,184,43,2184,13,25,745,2,211,125774,Jupyter Notebook,True,True,True,True,False,8902
228,75,10,169,1,40,83,10,42,847,JavaScript,True,True,True,True,False,8901
2163,162,351,8848,46,407,9963,209,4042,84384,Java,True,True,True,False,False,8901
632,328,28,414,3,19,37,19,37,1143,Python,False,True,True,False,False,8899
383,126,26,232,1,102,100,26,49,473,JavaScript,True,True,True,True,False,8897
1098,174,372,41304,43,368,16511,30,9776,1270218,C,True,True,True,True,False,8896
437,48,28,2735,12,55,647,3,325,82916,Python,True,True,True,False,True,8896
22422,261,456,22285,22,921,31073,129,24088,340940,Markdown,True,True,True,False,False,8886
445,396,44,34710,19,113,575,4,414,34508,Haskell,True,True,True,False,False,8886
1997,156,89,4162,12,432,403,127,173,8985,Python,True,False,True,False,False,8886
632,231,26,3306,5,0,684,0,371,61501,JavaScript,True,False,True,False,False,8884
806,106,39,2244,3,3,802,2,532,34036,,True,True,True,True,True,8884
329,170,27,391,3,55,155,6,101,736,Python,True,True,True,True,True,8883
168,87,16,41,2,61,36,30,28,53,,True,True,True,True,False,8882
1969,514,19,362,6,478,230,7,30,11158,C,True,True,True,True,False,8880
871,126,211,3348,11,115,2988,9,2040,54718,Dart,True,True,True,False,True,8879
1850,579,198,2877,60,927,6151,16,3254,99729,C#,True,True,True,True,False,8874
2093,401,48,3638,2,11,104,1,104,13970,Java,False,False,False,False,False,8874
1547,169,3,220,1,1,15,1,12,2825,Python,True,True,True,True,False,8874
2442,37,213,1098,3,66,954,43,462,9476,HTML,True,False,True,True,True,8873
1183,343,48,2073,2,0,55,0,55,31940,,False,True,True,True,False,8872
308,65,52,1816,6,10,1377,2,874,5557,TypeScript,True,True,True,True,False,8872
224,71,44,443,2,14,206,5,115,388,Rust,True,True,True,False,False,8871
510,94,32,1349,1,44,1297,0,446,4686,Kotlin,True,False,True,True,True,8870
1149,230,20,261,2,16,297,0,68,573,JavaScript,True,False,True,False,False,8870
1978,315,134,3994,27,1045,1348,234,550,8288,Python,True,False,True,False,False,8869
684,85,48,1629,15,115,974,24,722,11766,Python,True,True,True,True,False,8868
463,46,27,314,7,62,118,5,67,58887,TypeScript,True,True,True,True,False,8865
1091,235,93,587,5,4,632,0,239,2141,Shell,True,False,True,False,True,8864
918,182,141,3593,37,313,2267,28,925,49611,TypeScript,True,True,True,True,False,8863
1355,456,71,961,1,2,222,1,123,1493,,True,True,True,True,False,8862
1560,407,49,995,8,197,116,25,116,18352,JavaScript,False,True,True,False,False,8860
1624,141,347,58224,169,1709,11695,136,8314,572740,Java,True,True,True,True,False,8859
1496,324,11,204,6,43,109,5,16,130622,JavaScript,True,True,True,True,False,8857
1055,201,23,48,1,18,48,13,43,54,,True,False,True,False,False,8857
538,102,55,583,28,75,725,20,366,45079,JavaScript,True,True,True,False,False,8856
472,78,31,738,11,77,780,10,581,1210,Go,True,True,True,True,False,8855
574,105,118,926,1,26,396,0,222,37071,Shell,True,False,True,False,True,8853
11436,53,1,70,1,225,183,4,25,4826,HTML,True,True,True,True,False,8852
5124,355,417,5313,6,76,6522,71,2388,180395,C,True,False,True,False,True,8851
773,116,16,55,5,118,43,21,20,369,Jupyter Notebook,True,True,True,True,False,8847
1667,1028,40,1764,44,42,268,36,268,27015,Java,False,True,True,True,True,8847
1069,333,117,1080,2,4,237,4,237,73613,Shell,False,True,True,True,False,8846
605,199,108,8982,4,22,2913,3,1110,40080,JavaScript,True,True,True,True,False,8843
1436,222,160,1823,29,56,2639,19,891,8846,C,True,True,True,False,False,8842
1664,208,10,168,1,502,498,34,29,21807,Objective-C,True,True,True,False,False,8841
547,185,37,4210,11,39,1844,2,1347,23835,Go,True,True,True,True,False,8840
1473,82,335,1955,33,151,2493,70,1032,18984,Go,True,True,True,False,True,8839
728,364,33,992,1,0,474,0,262,1369,PHP,True,False,True,True,False,8839
2754,82,397,3269,9,317,3438,72,1257,7903,JavaScript,True,False,True,False,False,8838
722,176,106,7424,15,7,594,7,594,112718,Kotlin,False,False,True,True,False,8838
2149,136,4,157,25,134,68,29,24,3965,Vue,True,True,True,True,True,8837
1264,251,69,1659,2,2,486,2,409,68498,Python,True,True,True,True,False,8837
1018,81,61,506,19,234,495,39,195,3633,JavaScript,True,False,True,True,True,8836
1179,271,241,2369,20,6,2207,4,482,20015,C#,True,True,True,False,True,8835
13047,550,265,1035,4,11244,3907,11239,3904,849,HTML,True,True,True,True,True,8835
547,125,37,527,16,122,408,27,114,4095,JavaScript,True,True,True,True,True,8833
4298,353,175,210919,69,46,50,46,50,3522581,,False,True,True,True,False,8832
887,422,182,5569,3,501,3523,52,2414,26090,Go,True,True,True,False,False,8823
509,78,1,20,1,114,427,1,12,94,,True,False,True,False,True,8822
1724,182,6,71,2,111,189,3,9,9364,Java,True,True,True,True,False,8819
351,78,12,107,1,18,30,18,30,288,TypeScript,False,False,True,False,False,8819
249,27,41,130,4,57,177,7,92,704,TypeScript,True,False,True,False,False,8818
2445,216,437,7058,38,204,12123,26,7004,340820,TypeScript,True,True,True,False,False,8817
1732,62,4,21,1,170,1742,0,1742,34,,False,True,True,False,False,8812
2098,329,26,763,3,13,682,3,194,39520,Python,True,False,True,True,False,8812
382,37,83,6797,171,210,3556,24,3021,131022,Svelte,True,True,True,False,False,8812
2535,84,4,81,2,30,61,5,24,104428,TeX,True,True,True,True,False,8807
1179,92,104,6756,81,653,2277,37,356,134306,TypeScript,True,True,True,True,False,8807
337,136,48,426,6,0,193,0,89,11728,Shell,True,True,True,True,False,8802
725,115,85,547,2,93,759,24,266,537,Ruby,True,False,True,True,False,8800
1156,218,75,1366,7,383,1746,19,355,7063,C++,True,False,True,True,False,8800
903,156,116,713,5,315,843,70,426,1087,Go,True,True,True,True,False,8799
3672,148,373,6648,82,264,6160,66,3620,104520,Go,True,True,True,False,False,8795
1007,299,107,10017,30,13,3060,10,1236,196156,JavaScript,True,False,True,False,True,8794
3087,417,179,12421,15,228,7788,6,4892,530466,C#,True,True,True,True,False,8793
667,181,13,101,2,16,21,7,13,27890,,True,True,True,False,False,8792
1836,515,1,28,1,11,7,7,4,23,,True,True,True,True,False,8792
1214,299,97,37068,1984,4204,22040,184,18717,683534,Go,True,True,True,False,False,8788
1162,134,9,70,9,33,71,9,44,381,Go,True,False,True,False,False,8785
