full_name,private,fork,url,created_at,updated_at,pushed_at,size,stars,watchers,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks,archived,disabled,open_issues,allow_forking,is_template,web_commit_signoff_required,visibility,default_branch,commits,contributors,score
jstedfast/EmailValidation,0,0,https://github.com/jstedfast/EmailValidation,2013-10-11 15:36:27+00:00,2024-05-27 13:10:54+00:00,2024-05-27 13:10:54+00:00,149,270,26,1,1,1,1,0,0,72,0,0,0,1,0,0,public,master,129,6.0,1.0
muchdogesec/awesome-threat-intel-blogs,0,0,https://github.com/muchdogesec/awesome-threat-intel-blogs,2021-10-23 14:40:06+00:00,2024-05-24 02:55:27+00:00,2024-04-21 08:30:52+00:00,173,200,13,1,1,1,1,0,0,28,0,0,0,1,0,0,public,main,31,3.0,1.0
tesseract-ocr/tesseract,0,0,https://github.com/tesseract-ocr/tesseract,2014-08-12 18:04:59+00:00,2024-05-28 13:21:59+00:00,2024-05-28 13:21:46+00:00,53202,58721,1682,1,1,1,1,0,0,9133,0,0,412,1,0,0,public,main,6390,178.0,1.0
JuliaLang/PkgDev.jl,0,0,https://github.com/JuliaLang/PkgDev.jl,2015-09-30 12:21:07+00:00,2023-10-18 01:40:30+00:00,2022-03-12 23:02:50+00:00,226,70,28,1,0,1,0,0,0,34,0,0,8,1,0,0,public,master,219,29.0,1.0
mswjs/msw,0,0,https://github.com/mswjs/msw,2018-11-13 14:58:44+00:00,2024-05-28 08:23:58+00:00,2024-05-25 19:08:18+00:00,11131,14983,62,1,0,1,0,0,1,469,0,0,73,1,0,0,public,main,1501,138.0,1.0
